trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,train_location
DTF,AUS_2019,AUS,0.215875410609723,0.265919168057266,0.892937869701239,49,13,1,1013,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.194607375966127,0.183862470753943,0.70006682095915,101,13,2,1013,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.361637862363114,0.375734940074951,0.864497407727903,41,13,2,1013,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.184114243170465,0.139175475407017,0.738960518526713,98,13,3,1013,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.203159393974228,0.179036755005645,0.748626455246891,50,13,3,1013,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.397302900372333,0.412829837210496,0.867901902960934,100,13,4,1013,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.355703604479078,0.323751605115987,0.903217028048649,51,13,4,1013,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.261941369599677,0.232930641725555,0.849715273906347,97,13,5,1013,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0355700739412076,0.0980995638152772,0.843626601242786,45,13,5,1013,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.192742556837562,0.223486038535589,0.791819819904637,100,14,1,1014,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.287847227895154,0.491146554637844,0.938903717327809,48,14,1,1014,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.193432975598467,0.226527929376546,0.846034797918639,102,14,2,1014,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.288241592741792,0.2832552382222,0.927883203095826,43,14,2,1014,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.3647364029835,0.292988132389866,0.768841012508085,97,14,3,1014,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.21815263618945,0.158098603648681,0.856356863951306,43,14,3,1014,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.282683338720611,0.290891088093461,0.857890452366521,97,14,4,1014,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.257153381790025,0.247246507714578,0.929495585833941,50,14,4,1014,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.171534786779733,0.184211343250082,0.767360340717337,98,14,5,1014,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.110898916097644,0.129755613872948,0.783301856134715,52,14,5,1014,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.309056839477297,0.415570946948905,0.827115469813514,100,15,1,1015,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.195776277797912,0.154963445316453,0.768694610966396,40,15,1,1015,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.193099375672995,0.175553681836045,0.857400067848613,97,15,2,1015,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.379515823772792,0.295255081356906,0.880112672976854,52,15,2,1015,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.324794823423668,0.280951583924694,0.80667625885571,99,15,3,1015,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.163814582364099,0.259573959058891,0.882176260253841,46,15,3,1015,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.161446838179454,0.134829080504203,0.715669426784325,100,15,4,1015,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.237884371797475,0.163354373941806,0.859486411466193,48,15,4,1015,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.313573246556948,0.263966569008809,0.706413800162238,98,15,5,1015,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.256145083976162,0.449695823016907,0.921254098703838,50,15,5,1015,CV1_AUS,AUS
DTF,PAK_2019,PAK,0.476523386595258,0.155553965182681,0.822824619740421,48,1,1,1001,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.488974478008391,0.371027463373034,0.776287938185252,52,1,1,1001,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.545365928900083,0.510209698348289,0.7991165426854,48,1,1,1001,CV1_PAK,PAK
DTF,PAK_2019,PAK,0.402692869406968,-0.0501602999024706,0.850581281619418,43,1,2,1001,CV1_PAK,PAK
DTF,PAK_2020,PAK,0.394996672418198,0.274115827174263,0.725453530720603,57,1,2,1001,CV1_PAK,PAK
DTF,PAK_2021,PAK,0.372668453274014,0.367332201824144,0.764846572260602,51,1,2,1001,CV1_PAK,PAK
