trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,model
DTF,PAK_2020,PAK,0.394891683,0.473030762,0.899091435,48,5,4,1005,CV1,GBLUP
DTF,PAK_2021,PAK,0.336420794,0.396122689,0.860772418,44,5,4,1005,CV1,GBLUP
DTF,AUS_2018,AUS,0.205597553,0.140977412,0.731225512,96,5,5,1005,CV1,GBLUP
DTF,AUS_2019,AUS,0.1416803,0.197932535,0.827130124,46,5,5,1005,CV1,GBLUP
DTF,PAK_2019,PAK,0.045353592,-0.143364573,0.773669741,51,5,5,1005,CV1,GBLUP
DTF,PAK_2020,PAK,0.193819379,0.129496026,0.740876593,65,5,5,1005,CV1,GBLUP
DTF,PAK_2021,PAK,0.202915143,0.056602733,0.669596407,60,5,5,1005,CV1,GBLUP
DTF,AUS_2018,AUS,0.338168697,0.31674842,0.673309354,101,6,1,1006,CV1,GBLUP
DTF,AUS_2019,AUS,0.044931334,0.241551121,0.805505862,51,6,1,1006,CV1,GBLUP
DTF,PAK_2019,PAK,0.226929476,0.179523174,0.809337083,47,6,1,1006,CV1,GBLUP
DTF,PAK_2020,PAK,0.486943748,0.458045344,0.715143392,58,6,1,1006,CV1,GBLUP
DTF,PAK_2021,PAK,0.538596937,0.655061617,0.924541649,49,6,1,1006,CV1,GBLUP
DTF,AUS_2018,AUS,0.254774389,0.265176138,0.746974034,97,6,2,1006,CV1,GBLUP
DTF,AUS_2019,AUS,0.246066763,0.19269611,0.889799565,50,6,2,1006,CV1,GBLUP
DTF,PAK_2019,PAK,-0.148904292,0.074689258,0.829867857,44,6,2,1006,CV1,GBLUP
DTF,PAK_2020,PAK,0.422986617,0.418447604,0.75436701,53,6,2,1006,CV1,GBLUP
DTF,PAK_2021,PAK,0.528337962,0.555966987,0.725302473,47,6,2,1006,CV1,GBLUP
DTF,AUS_2018,AUS,0.175277335,0.178585659,0.827524789,94,6,3,1006,CV1,GBLUP
DTF,AUS_2019,AUS,0.252137608,0.253447756,0.894926174,47,6,3,1006,CV1,GBLUP
DTF,PAK_2019,PAK,-0.005603133,-0.174201207,0.828066931,42,6,3,1006,CV1,GBLUP
DTF,PAK_2020,PAK,0.194107296,0.16821233,0.756347638,57,6,3,1006,CV1,GBLUP
DTF,PAK_2021,PAK,0.20515798,0.244556331,0.755549391,54,6,3,1006,CV1,GBLUP
DTF,AUS_2018,AUS,0.192850108,0.199929931,0.814650407,100,6,4,1006,CV1,GBLUP
DTF,AUS_2019,AUS,0.235474662,0.199963372,0.87197447,39,6,4,1006,CV1,GBLUP
DTF,PAK_2019,PAK,-0.180195714,-0.273656641,0.884402912,46,6,4,1006,CV1,GBLUP
DTF,PAK_2020,PAK,0.099017075,-0.050149801,0.792453975,52,6,4,1006,CV1,GBLUP
DTF,PAK_2021,PAK,0.093300241,-0.016948134,0.786039788,53,6,4,1006,CV1,GBLUP
DTF,AUS_2018,AUS,0.312731951,0.317304186,0.83454553,102,6,5,1006,CV1,GBLUP
DTF,AUS_2019,AUS,0.201347585,0.232836588,0.755316743,49,6,5,1006,CV1,GBLUP
DTF,PAK_2019,PAK,0.251308675,0.123776307,0.59982471,42,6,5,1006,CV1,GBLUP
DTF,PAK_2020,PAK,0.33653759,0.349645577,0.894325893,47,6,5,1006,CV1,GBLUP
DTF,PAK_2021,PAK,0.379883085,0.303804122,0.755419132,41,6,5,1006,CV1,GBLUP
DTF,AUS_2018,AUS,0.349326021,0.379758115,0.811383246,99,7,1,1007,CV1,GBLUP
DTF,AUS_2019,AUS,0.29832373,0.309063775,0.89798787,45,7,1,1007,CV1,GBLUP
DTF,PAK_2019,PAK,-0.009096119,-0.116945658,0.838252028,43,7,1,1007,CV1,GBLUP
DTF,PAK_2020,PAK,0.307173626,0.263804188,0.697548705,58,7,1,1007,CV1,GBLUP
DTF,PAK_2021,PAK,0.30571025,0.360612189,0.775516839,57,7,1,1007,CV1,GBLUP
DTF,AUS_2018,AUS,0.378579658,0.387296373,0.802051935,96,7,2,1007,CV1,GBLUP
DTF,AUS_2019,AUS,0.322891907,0.398075351,0.899178461,54,7,2,1007,CV1,GBLUP
DTF,PAK_2019,PAK,0.05515973,0.165053053,0.279201301,50,7,2,1007,CV1,GBLUP
DTF,PAK_2020,PAK,0.437290333,0.443563135,0.917170444,53,7,2,1007,CV1,GBLUP
DTF,PAK_2021,PAK,0.435570412,0.365841672,0.703629467,45,7,2,1007,CV1,GBLUP
DTF,AUS_2018,AUS,0.230080728,0.161889229,0.79905144,101,7,3,1007,CV1,GBLUP
DTF,AUS_2019,AUS,0.370604684,0.154005085,0.840347585,44,7,3,1007,CV1,GBLUP
DTF,PAK_2019,PAK,0.100813498,0.238080822,0.84692941,33,7,3,1007,CV1,GBLUP
DTF,PAK_2020,PAK,0.439790681,0.425834169,0.845776299,48,7,3,1007,CV1,GBLUP
DTF,PAK_2021,PAK,0.463596448,0.493880224,0.850544534,42,7,3,1007,CV1,GBLUP
DTF,AUS_2018,AUS,0.208164198,0.197249242,0.751919791,98,7,4,1007,CV1,GBLUP
DTF,AUS_2019,AUS,0.045348806,0.116933792,0.816834532,49,7,4,1007,CV1,GBLUP
DTF,PAK_2019,PAK,0.004863251,-0.295265361,0.823556778,44,7,4,1007,CV1,GBLUP
DTF,PAK_2020,PAK,0.276612565,0.269275258,0.79193204,56,7,4,1007,CV1,GBLUP
DTF,PAK_2021,PAK,0.217986147,0.277014046,0.727294701,54,7,4,1007,CV1,GBLUP
DTF,AUS_2018,AUS,0.116643048,0.13728416,0.725918935,100,7,5,1007,CV1,GBLUP
DTF,AUS_2019,AUS,0.079751801,0.177990365,0.840711413,44,7,5,1007,CV1,GBLUP
DTF,PAK_2019,PAK,0.216842016,0.047434171,0.793087636,51,7,5,1007,CV1,GBLUP
DTF,PAK_2020,PAK,0.258806015,0.091742485,0.760174567,52,7,5,1007,CV1,GBLUP
DTF,PAK_2021,PAK,0.424958172,0.334845329,0.823888817,46,7,5,1007,CV1,GBLUP
DTF,AUS_2018,AUS,0.159814547,0.210417015,0.640450899,101,8,1,1008,CV1,GBLUP
DTF,AUS_2019,AUS,0.137015249,0.223199023,0.814081573,41,8,1,1008,CV1,GBLUP
DTF,PAK_2019,PAK,0.201670677,0.192105147,0.8222671,42,8,1,1008,CV1,GBLUP
DTF,PAK_2020,PAK,0.477690749,0.394411406,0.788618404,54,8,1,1008,CV1,GBLUP
DTF,PAK_2021,PAK,0.409257411,0.513323191,0.876196389,49,8,1,1008,CV1,GBLUP
DTF,AUS_2018,AUS,0.285618958,0.241015881,0.818212608,98,8,2,1008,CV1,GBLUP
DTF,AUS_2019,AUS,0.439655745,0.428438644,0.937765648,43,8,2,1008,CV1,GBLUP
DTF,PAK_2019,PAK,-0.101423062,-0.09175408,0.889650407,39,8,2,1008,CV1,GBLUP
DTF,PAK_2020,PAK,0.200160196,0.169022109,0.828899224,49,8,2,1008,CV1,GBLUP
DTF,PAK_2021,PAK,0.067413004,0.030365253,0.815321963,47,8,2,1008,CV1,GBLUP
DTF,AUS_2018,AUS,0.360185141,0.300033935,0.833646563,100,8,3,1008,CV1,GBLUP
DTF,AUS_2019,AUS,0.191496398,0.180394181,0.811665466,46,8,3,1008,CV1,GBLUP
DTF,PAK_2019,PAK,0.028255834,-0.091283778,0.905721304,48,8,3,1008,CV1,GBLUP
DTF,PAK_2020,PAK,0.358914411,0.271265155,0.871964129,47,8,3,1008,CV1,GBLUP
DTF,PAK_2021,PAK,0.45657605,0.375988039,0.791862958,42,8,3,1008,CV1,GBLUP
DTF,AUS_2018,AUS,0.352275021,0.355335157,0.783774031,96,8,4,1008,CV1,GBLUP
DTF,AUS_2019,AUS,0.114428333,0.105056835,0.802533201,60,8,4,1008,CV1,GBLUP
DTF,PAK_2019,PAK,0.24432828,0.105272378,0.811866756,42,8,4,1008,CV1,GBLUP
DTF,PAK_2020,PAK,0.307057709,0.283452571,0.762218894,59,8,4,1008,CV1,GBLUP
DTF,PAK_2021,PAK,0.371160811,0.447648661,0.814910993,53,8,4,1008,CV1,GBLUP
DTF,AUS_2018,AUS,0.145942328,0.1713716,0.728603992,99,8,5,1008,CV1,GBLUP
DTF,AUS_2019,AUS,0.139606584,0.037160614,0.870969295,46,8,5,1008,CV1,GBLUP
DTF,PAK_2019,PAK,0.031510183,0.015149685,0.638486562,50,8,5,1008,CV1,GBLUP
DTF,PAK_2020,PAK,0.310878792,0.331162889,0.801876351,58,8,5,1008,CV1,GBLUP
DTF,PAK_2021,PAK,0.452061658,0.341898317,0.693470813,53,8,5,1008,CV1,GBLUP
DTF,AUS_2018,AUS,0.278055131,0.297577315,0.798420344,98,9,1,1009,CV1,GBLUP
DTF,AUS_2019,AUS,0.380589935,0.302192846,0.864032476,48,9,1,1009,CV1,GBLUP
DTF,PAK_2019,PAK,0.051398645,0.017417354,0.897334119,41,9,1,1009,CV1,GBLUP
DTF,PAK_2020,PAK,0.488241567,0.480339301,0.9179935,55,9,1,1009,CV1,GBLUP
DTF,PAK_2021,PAK,0.420198407,0.457046556,0.853008649,52,9,1,1009,CV1,GBLUP
DTF,AUS_2018,AUS,0.26902914,0.292379906,0.797575194,98,9,2,1009,CV1,GBLUP
DTF,AUS_2019,AUS,0.130136427,0.195437015,0.890761677,47,9,2,1009,CV1,GBLUP
DTF,PAK_2019,PAK,-0.173954686,-0.158588455,0.808958658,47,9,2,1009,CV1,GBLUP
DTF,PAK_2020,PAK,0.458337733,0.35133198,0.717161337,59,9,2,1009,CV1,GBLUP
DTF,PAK_2021,PAK,0.330598188,0.288406016,0.653522586,56,9,2,1009,CV1,GBLUP
DTF,AUS_2018,AUS,0.209826435,0.139584043,0.695989149,102,9,3,1009,CV1,GBLUP
